[Sun Nov 10 10:18:15 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: copy, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: compress, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: decompress, File: test.gz, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: delete, File: test.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: delete, File: test_copy.txt, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: delete, File: test.gz, Status: 0
[Sun Nov 10 10:18:15 2024] Operation: delete, File: test_decompressed.txt, Status: 0
[Sun Nov 10 10:21:23 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:21:33 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:21:33 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:21:33 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:22:05 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:22:15 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:22:15 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:22:15 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:22:15 2024] Operation: copy, File: test.txt, Status: 0
[Sun Nov 10 10:22:15 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:23:17 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:23:18 2024] Operation: read, File: test.txt, Status: 0
[Sun Nov 10 10:23:27 2024] Operation: write, File: test.txt, Status: 0
[Sun Nov 10 10:23:28 2024] Operation: write, File: test.txt, Status: 0
